Fish ID,Total Length (mm),Mass (g),Accliamtion Temperature,Acclimation Salinity,Assay Temperature,COX Activity,CS Activity,LDH Activity,Hematocrit (%),Body Condition
74,74,4.735,10,11,10,13.645,5.448,128.559,33.33,1.168489527
74,74,4.735,10,11,24,13.028,6.020,172.951,33.33,1.168489527
75,65,3.586,10,28,10,14.657,6.145,134.337,,1.30578061
75,65,3.586,10,28,24,13.124,6.955,186.454,,1.30578061
76,66,3.203,24,11,10,12.517,7.115,156.454,,1.114102457
76,66,3.203,24,11,24,14.303,8.951,207.955,,1.114102457
77,69,3.894,24,28,10,9.836,5.035,114.277,35.71,1.185355652
77,69,3.894,24,28,24,10.716,5.394,143.404,35.71,1.185355652
78,70,4.403,10,11,10,11.102,4.177,110.235,25.93,1.283673469
78,70,4.403,10,11,24,11.774,5.078,149.688,25.93,1.283673469
79,79,6.167,10,28,10,8.919,3.185,78.879,29.41,1.25081383
79,79,6.167,10,28,24,8.917,5.066,112.277,29.41,1.25081383
80,74,4.994,10,28,10,14.627,6.646,134.980,37.50,1.232404793
80,74,4.994,10,28,24,13.691,8.169,182.689,37.50,1.232404793
81,61,2.773,24,11,10,7.849,5.505,117.334,30.00,1.221688159
81,61,2.773,24,11,24,9.314,5.907,151.866,30.00,1.221688159
82,69,3.871,24,28,10,12.224,5.644,129.346,,1.178354322
82,69,3.871,24,28,24,12.301,6.458,156.354,,1.178354322
83,88,9.011,10,11,10,9.445,4.454,90.292,21.36,1.322284701
83,88,9.011,10,11,24,9.946,4.351,125.595,21.36,1.322284701
84,86,9.171,24,28,10,10.356,5.877,135.835,19.25,1.441854176
84,86,9.171,24,28,24,11.822,6.758,166.743,19.25,1.441854176
85,65,3.245,24,11,10,9.266,4.877,108.093,20.00,1.181611288
85,65,3.245,24,11,24,10.292,5.773,150.464,20.00,1.181611288
86,86,7.832,10,28,10,9.288,4.049,95.653,27.50,1.231338121
86,86,7.832,10,28,24,9.780,4.562,100.851,27.50,1.231338121
87,69,3.859,10,11,10,9.349,4.043,83.531,28.00,1.174701454
87,69,3.859,10,11,24,8.805,4.262,109.450,28.00,1.174701454
88,71,3.878,24,28,10,7.812,4.688,107.310,,1.083509588
88,71,3.878,24,28,24,9.148,4.889,126.202,,1.083509588
89,75,4.838,24,11,10,8.150,3.761,89.153,25.36,1.146785185
89,75,4.838,24,11,24,8.818,3.796,99.796,25.36,1.146785185
90,65,3.007,10,28,10,10.266,3.880,115.827,31.25,1.094947656
90,65,3.007,10,28,24,10.433,5.081,116.116,31.25,1.094947656
91,73,4.674,10,11,10,10.844,4.255,96.167,22.22,1.201489909
91,73,4.674,10,11,24,10.763,4.712,121.367,22.22,1.201489909
92,68,3.824,24,28,10,7.727,4.521,87.967,27.03,1.216161205
92,68,3.824,24,28,24,8.643,3.914,114.190,27.03,1.216161205
93,76,5.842,24,11,10,7.631,3.747,79.679,26.83,1.330824464
93,76,5.842,24,11,24,8.077,4.403,98.100,26.83,1.330824464
94,70,3.55,10,28,10,9.065,4.276,87.681,33.33,1.034985423
94,70,3.55,10,28,24,9.594,4.471,114.478,33.33,1.034985423
95,85,7.675,10,11,10,7.500,3.941,92.642,24.50,1.249745573
95,85,7.675,10,11,24,8.320,3.946,106.342,24.50,1.249745573
96,67,3.603,24,28,10,6.446,5.007,98.308,35.71,1.197953206
96,67,3.603,24,28,24,10.524,5.437,139.447,35.71,1.197953206
97,74,4.65,24,11,10,2.907,5.282,122.198,34.29,1.147513474
97,74,4.65,24,11,24,6.031,5.167,163.885,34.29,1.147513474
98,81,7,10,28,10,9.865,3.721,97.602,22.90,1.281797979
98,81,7,10,28,24,9.960,4.177,117.839,22.90,1.281797979
99,82,6.788,10,11,10,10.526,6.122,160.310,24.14,1.231119688
99,82,6.788,10,11,24,9.107,6.255,175.618,24.14,1.231119688
100,70,4.242,24,28,10,6.544,3.424,76.386,25.00,1.236734694
100,70,4.242,24,28,24,7.860,3.310,84.167,25.00,1.236734694
101,67,3.46,24,11,10,4.494,3.879,103.731,36.67,1.150407464
101,67,3.46,24,11,24,13.392,5.327,121.154,36.67,1.150407464
102,70,4.155,10,28,10,12.497,4.692,133.095,24.32,1.211370262
102,70,4.155,10,28,24,12.486,4.368,130.507,24.32,1.211370262
103,70,4.199,10,11,10,8.678,2.925,91.723,30.43,1.224198251
103,70,4.199,10,11,24,8.024,3.762,99.042,30.43,1.224198251
104,84,6.93,24,28,10,13.323,4.305,150.668,32.62,1.169217687
104,84,6.93,24,28,24,14.432,6.271,155.451,32.62,1.169217687
105,69,3.438,24,11,10,9.069,5.656,126.529,30.00,1.04654667
105,69,3.438,24,11,24,11.573,5.366,157.522,30.00,1.04654667
