,,,Distance Moved, Mean Velocity,Time at Edge,Max Velocity
,,,Center-point,Center-point,edge / Center-point,Center-point
,,,Total,Mean,Cumulative Duration,Maximum
,,,mm,mm/s,s,mm/s
0,Trial    10,A1,2609.33,2.27543,653.281,61.7096
0,Trial    10,B1,2541.56,2.22059,822.502,47.9786
0,Trial    10,C1,1986.54,1.72931,642.28,72.6051
0,Trial    10,D1,1901.95,1.67375,659.482,63.8966
0,Trial    11,A1,2364.39,2.11336,798.329,68.4184
0,Trial    11,B1,3342.23,3.13186,705.914,66.7142
0,Trial    11,C1,2173.31,1.90343,826.734,55.3552
0,Trial    11,D1,2262.39,2.05452,916.949,57.8571
0,Trial    12,A1,2677.69,2.48228,849.297,63.2061
0,Trial    12,B1,4993.46,4.76967,819.094,59.4812
0,Trial    12,C1,2780.23,2.51895,750.286,60.9898
0,Trial    12,D1,2312.58,2.01913,683.478,61.8322
0,Trial    13,A1,2935.84,2.55026,810.938,74.8435
0,Trial    13,B1,1919.93,1.6435,747.327,50.8168
0,Trial    13,C1,2390.59,2.12084,835.942,54.9747
0,Trial    13,D1,1846.47,1.6104,735.525,51.9675
0.5,Trial    10,A3,2087.37,1.82599,810.501,74.8525
0.5,Trial    10,B3,1901.52,1.60582,807.1,41.5788
0.5,Trial    10,C3,2012.35,1.70056,814.301,38.6413
0.5,Trial    10,D3,3382.78,2.98637,807.1,65.591
0.5,Trial    11,A3,2930.86,2.75205,828.534,70.6023
0.5,Trial    11,B3,2683.69,2.32156,630.502,64.4363
0.5,Trial    11,C3,2406.28,2.06337,778.326,49.3454
0.5,Trial    11,D3,2212.3,1.94782,580.094,56.749
0.5,Trial    12,A3,2839.98,2.57729,824.294,71.5832
0.5,Trial    12,B3,1992.25,1.68873,975.912,35.4565
0.5,Trial    12,C3,3444.35,2.97149,748.286,33.485
0.5,Trial    12,D3,3829.2,3.47942,806.092,41.8491
0.5,Trial    13,A3,2567.44,2.29361,783.934,30.5735
0.5,Trial    13,B3,3046.24,2.55,694.118,33.0814
0.5,Trial    13,C3,1454.18,1.21587,782.733,36.9231
0.5,Trial    13,D3,2818.15,2.39679,950.762,51.9021
0.25,Trial    10,A2,1257.37,1.05826,668.483,42.384
0.25,Trial    10,B2,1719.75,1.46319,644.28,32.528
0.25,Trial    10,C2,1278.53,1.07408,299.037,46.2203
0.25,Trial    10,D2,1295.72,1.0983,635.479,38.3098
0.25,Trial    11,A2,2419.61,2.12138,721.717,39.89
0.25,Trial    11,B2,1978.34,1.72421,687.111,57.5268
0.25,Trial    11,C2,1988.18,1.70602,565.292,54.7291
0.25,Trial    11,D2,1976.77,1.77899,684.111,73.0122
0.25,Trial    12,A2,1902.22,1.6568,775.889,32.3154
0.25,Trial    12,B2,1819.72,1.56909,427.049,55.4981
0.25,Trial    12,C2,2343.26,2.00633,442.051,29.968
0.25,Trial    12,D2,2014.66,1.79252,802.492,70.2074
0.25,Trial    13,A2,2501.96,2.14246,713.322,53.1035
0.25,Trial    13,B2,3460,2.9905,770.331,39.8011
0.25,Trial    13,C2,3572.57,3.09636,662.513,74.553
0.25,Trial    13,D2,3194.77,2.73432,941.761,33.508
2,Trial    10,A4,644.189,0.537563,982.722,60.725
2,Trial    10,B4,317.466,0.264654,0,18.2649
2,Trial    10,C4,704.971,0.587892,403.85,62.825
2,Trial    10,D4,468.406,0.3913,1184.5475,65.9427
2,Trial    11,A4,664.325,0.557884,387.863,57.6748
2,Trial    11,B4,1112.05,0.941785,305.85,71.7863
2,Trial    11,C4,1414.87,1.1952,344.456,30.227
2,Trial    11,D4,441.316,0.367949,552.089,49.9789
2,Trial    12,A4,930.603,0.782982,1019.72,63.7418
2,Trial    12,B4,1315.37,1.10134,528.461,50.5367
2,Trial    12,C4,735.115,0.613037,1002.51,22.205
2,Trial    12,D4,644.048,0.540429,511.659,51.5709
2,Trial    13,A4,409.734,0.341672,1.00017,43.669
2,Trial    13,B4,392.578,0.327529,186.432,15.0047
2,Trial    13,C4,849.581,0.70869,720.123,44.1475
2,Trial    13,D4,1080.02,0.902726,942.361,38.9333
