Treatment,Trial,Well,Total_distance ,Mean velocity ,Time_at_edge,Max_velocity
0,Trial     5,A1,3394.91,2.83018,779.491,35.8267
0,Trial     5,B1,3732.95,3.11199,821.096,25.1208
0,Trial     5,C1,2968.14,2.4744,751.087,30.9547
0,Trial     5,D1,2743.04,2.28674,867.101,30.313
0.25,Trial     5,A2,1603.37,1.33665,657.877,48.8334
0.25,Trial     5,B2,2468.26,2.06008,1033.92,49.1203
0.25,Trial     5,C2,5742.8,4.78751,785.491,38.3831
0.25,Trial     5,D2,3429.39,2.87378,898.105,39.1482
0.5,Trial     5,A3,1435.64,1.19682,851.099,56.3893
0.5,Trial     5,B3,1337.83,1.11528,289.634,38.7255
0.5,Trial     5,C3,1989.96,1.65894,945.31,55.37
0.5,Trial     5,D3,1737.48,1.44846,618.272,61.4384
2,Trial     5,A4,3131.7,2.61075,506.059,25.2737
2,Trial     5,B4,215.279,0.179468,1132.33,69.7888
2,Trial     5,C4,683.307,0.569641,185.622,16.5717
2,Trial     5,D4,459.319,0.382912,1101.53,15.1179
0,Trial     6,A1,2929.38,2.44212,1060.51,47.214
0,Trial     6,B1,1851.95,1.54442,703.872,39.152
0,Trial     6,C1,2496.79,2.08149,756.077,29.0527
0,Trial     6,D1,6097.25,5.08306,940.896,34.906
0.25,Trial     6,A2,2273.72,1.89552,959.098,41.4788
0.25,Trial     6,B2,3141.92,2.61931,819.884,28.1576
0.25,Trial     6,C2,2707.64,2.25726,635.865,32.537
0.25,Trial     6,D2,3857.86,3.22207,926.895,46.7924
0.5,Trial     6,A3,420.921,0.350907,1.0001,6.92626
0.5,Trial     6,B3,2450.86,2.0432,625.464,28.3635
0.5,Trial     6,C3,1895.37,1.5801,686.47,37.6231
0.5,Trial     6,D3,1647.46,1.37343,305.031,34.0327
2,Trial     6,A4,707.47,0.589793,30.4031,19.6164
2,Trial     6,B4,3498.1,2.91624,464.247,26.0378
2,Trial     6,C4,811.441,0.67647,328.433,16.4295
2,Trial     6,D4,5455.92,4.54841,770.279,24.2843
0,Trial     7,A1,3519.35,2.93395,805.685,38.0897
0,Trial     7,B1,1580.33,1.31746,538.257,41.2475
0,Trial     7,C1,3316.97,2.76524,720.476,39.4699
0.25,Trial     7,A2,4856.95,4.04905,941.899,71.6916
0.25,Trial     7,B2,2392.53,1.99456,917.697,36.5374
0.25,Trial     7,C2,2745.43,2.28876,914.296,34.3407
0.25,Trial     7,D2,3659.62,3.05088,961.101,53.2737
0.5,Trial     7,A3,1959.89,1.63389,367.439,31.7831
0.5,Trial     7,B3,2588.35,2.15781,658.069,25.4981
0.5,Trial     7,C3,2712.2,2.26106,898.695,50.4438
0.5,Trial     7,D3,5282.84,4.4041,863.291,31.3429
2,Trial     7,A4,927.472,0.773198,391.641,23.5436
2,Trial     7,B4,3015.65,2.51404,595.063,22.4068
2,Trial     7,C4,1921.11,1.60155,487.251,38.5653
2,Trial     7,D4,413.487,0.344709,0,12.2968
0,Trial     8,A1,6938.95,5.78659,1035.32,37.2423
0,Trial     8,B1,2686.19,2.23935,618.073,26.2694
0,Trial     8,C1,3737.15,3.11548,965.314,31.4645
0,Trial     8,D1,2171.66,1.81041,809.095,37.7425
0.25,Trial     8,A2,2872.12,2.39435,725.086,42.3979
0.25,Trial     8,B2,4082.49,3.40338,920.309,58.1521
0.25,Trial     8,C2,5868.17,4.89201,816.096,35.2909
0.25,Trial     8,D2,3692.73,3.07948,957.513,35.8272
0.5,Trial     8,A3,1915.97,1.59725,423.65,22.481
0.5,Trial     8,B3,2148.92,1.79145,838.099,33.4069
0.5,Trial     8,C3,1250.17,1.04221,460.054,21.8694
0.5,Trial     8,D3,4125.75,3.43944,898.706,35.9601
2,Trial     8,A4,4360.87,3.63545,546.064,43.9537
2,Trial     8,B4,4402.66,3.67028,941.711,34.6964
2,Trial     8,C4,969.103,0.807894,72.2085,49.9175
2,Trial     8,D4,936.585,0.781047,87.8104,30.3878
0,Trial     9,A1,2078.41,1.73269,655.47,27.9287
0,Trial     9,B1,2267.21,1.89008,702.875,25.2509
0,Trial     9,C1,2374.94,1.9799,929.299,24.1776
0,Trial     9,D1,2919.26,2.43367,693.674,29.1599
0.25,Trial     9,A2,932.763,0.777348,562.06,18.3559
0.25,Trial     9,B2,2438,2.03247,738.679,23.5403
0.25,Trial     9,C2,2156.08,1.79744,609.865,33.2177
0.25,Trial     9,D2,3436.23,2.86369,909.897,48.1891
0.5,Trial     9,A3,2942.2,2.4528,803.086,32.7338
0.5,Trial     9,B3,3110.52,2.59312,837.49,31.1394
0.5,Trial     9,C3,527.96,0.44014,273.629,7.01973
0.5,Trial     9,D3,2702.32,2.25282,766.282,29.6878
2,Trial     9,A4,594.45,0.49557,967.904,22.5125
2,Trial     9,B4,838.527,0.699047,123.813,13.3664
2,Trial     9,C4,4639.86,3.86807,665.071,36.1052
2,Trial     9,D4,424.085,0.353543,75.8081,22.9658
